Date,Time,Activity,Venue,Lead
31/07/2017,1000,Welcome to TSL and housekeeping,,None
31/07/2017,1015,Introductions by TSL Staff,,None
31/07/2017,1030,Participant Introductions,,None
31/07/2017,1100,PEDAGOGICAL LECTURE - Introduction to Plant Microbe Interactions,,None
31/07/2017,1200,Lunch,NRP Venues,None
31/07/2017,1300,Poster Session,John Innes Centre Conference Centre,None
31/07/2017,1500,Tour of The Sainsbury Laboratory and Norwich Research Park,Meet at John Innes Reception,None
01/08/2017,930,PEDAGOGICAL LECTURE - Jonathan Jones,,Jonathan Jones
01/08/2017,1100,Tea Break and Discussion,,Jonathan Jones
01/08/2017,1130,Practical Session,,Jonathan Jones
01/08/2017,1230,Lunch,NRP Venues,Jonathan Jones
01/08/2017,1330,KEYNOTE LECTURE - JIJIE CHAI - Structural Study of Plant Receptor Kinases,Jane Rogers Seminar Room at EI,Jonathan Jones
01/08/2017,1430,Tea Break and Discussion,,Jonathan Jones
01/08/2017,1500,Practical Session,,Jonathan Jones
02/08/2017,930,Practical Session,,Jonathan Jones
02/08/2017,1130,PEDAGOGICAL LECTURE - Dan MacLean,,Dan MacLean
02/08/2017,1230,Lunch,NRP Venues,Dan MacLean
02/08/2017,1330,KEYNOTE LECTURE - DIANE SAUNDERS - Developing new tools for interrogating cereal invaders,Jane Rogers Seminar Room at EI,Dan MacLean
02/08/2017,1430,Tea Break and Discussion,,Dan MacLean
02/08/2017,1500,Practical Session,,Dan MacLean
02/08/2017,1800,Social Session with TSL Students,,TSL Students
03/08/2017,930,PEDAGOGICAL LECTURE - Sophien Kamoun,,Sophien Kamoun
03/08/2017,1100,Tea Break and Discussion,,Sophien Kamoun
03/08/2017,1130,Practical Session,,Sophien Kamoun
03/08/2017,1230,Lunch,NRP Venues,Sophien Kamoun
03/08/2017,1330,KEYNOTE LECTURE - JENS BOCH - A battle for life and death - Evolution of TALEs in plant-pathogenic _Xanthomonas_ bacteria,JIC G34/35,Sophien Kamoun
03/08/2017,1430,Tea Break and Discussion,,Sophien Kamoun
03/08/2017,1500,Practical Session,,Sophien Kamoun
04/08/2017,930,Practical Session,,Sophien Kamoun
04/08/2017,1030,Practical Session,,Cyril Zipfel
04/08/2017,1230,Lunch,NRP Venues,Cyril Zipfel
04/08/2017,1330,Pedagogical Lecture - Cyril Zipfel,,Cyril Zipfel
04/08/2017,1430,Tea Break and Discussion,,Cyril Zipfel
04/08/2017,1500,Practical Session,,Cyril Zipfel
04/08/2017,1530,KEYNOTE LECTURE - STEFANIE RANF - Specificity of LORE-dependent lipopolysaccharide immune sensing in Arabidopsis,,Cyril Zipfel
04/08/2017,1630,Practical Session,,Cyril Zipfel
04/08/2017,1900,Conference Dinner,Sainsbury Centre for Visual Arts,Cyril Zipfel
05/08/2017,930,Practical Session,,Cyril Zipfel
06/08/2017,1100,Board Coach to Cromer,JIC Reception,None
06/08/2017,1600,Board Coach to Blakeney,Cromer Coach Park - TBC,None
06/08/2017,1645,Bean's Seal Trip Departs,Quayside Blakeney,None
06/08/2017,1845 (approx),Arrive back at UEA,,None
07/08/2017,930,PEDAGOGICAL LECTURE - Silke Robatzek,,Silke Robatzek
07/08/2017,1100,Tea Break and Discussion,,Silke Robatzek
07/08/2017,1130,Practical Session,,Silke Robatzek
07/08/2017,1230,Lunch,NRP Venues,Silke Robatzek
07/08/2017,1330,KEYNOTE LECTURE - PAUL BIRCH - The Delivery and Activity of late blight effector proteins that suppress plant immunity,JIC G34/35,Silke Robatzek
07/08/2017,1430,Tea Break and Discussion,,Silke Robatzek
07/08/2017,1500,Practical Session,,Silke Robatzek
08/08/2017,930,Practical Session,,Silke Robatzek
08/08/2017,1230,Lunch,NRP Venues,Silke Robatzek
08/08/2017,1330,KEYNOTE LECTURE - DANIEL CROLL - Retracing genome evolution of pathogens during rapid disease emergence in agricultural ecosystems,JIC G34/35,Ksenia Krasileva
08/08/2017,1430,PEDAGOGICAL LECTURE - Ksenia Krasileva,,Ksenia Krasileva
08/08/2017,1530,Tea Break and Discussion,,Ksenia Krasileva
08/08/2017,1600,Practical Session,,Ksenia Krasileva
09/08/2017,930,PEDAGOGICAL LECTURE - Frank Menke,,Frank Menke
09/08/2017,1100,Tea Break and Discussion,,Frank Menke
09/08/2017,1130,Practical Session,,Frank Menke
09/08/2017,1230,Lunch,NRP Venues,Frank Menke
09/08/2017,1330,KEYNOTE LECTURE - DELPHINE PFLEIGER - Quantitative phosphoproteomic analysis reveals shared and specific targets of Arabidopsis MAPkinases MPK3 MPK4 and MPK6,Jane Rogers Seminar Room at EI,Frank Menke
09/08/2017,1430,Tea Break and Discussion,,Frank Menke
09/08/2017,1500,Practical Session,,Frank Menke
10/08/2017,930,PEDAGOGICAL LECTURE - Matt Moscou,,Matt Moscou and Peter Van Esse
10/08/2017,1100,Tea Break and Discussion,,Matt Moscou and Peter Van Esse
10/08/2017,1130,Practical Session,,Matt Moscou and Peter Van Esse
10/08/2017,1230,Lunch,NRP Venues,Matt Moscou and Peter Van Esse
10/08/2017,1330,KEYNOTE LECTURE - BEAT KELLER - Molecular analysis of wheat â€“ fungal pathosystems and applications in resistance breeding,JIC G34/35,Matt Moscou and Peter Van Esse
10/08/2017,1430,Tea Break and Discussion,,Matt Moscou and Peter Van Esse
10/08/2017,1500,Practical Session,,Matt Moscou and Peter Van Esse
11/08/2017,930,Practical Session,,Matt Moscou and Peter Van Esse
11/08/2017,1030,Tea Break and Discussion,,Matt Moscou and Peter Van Esse
11/08/2017,1100,PEDAGOGICAL LECTURE - Peter Van Esse,,Matt Moscou and Peter Van Esse
11/08/2017,1200,Concluding Remarks,,Matt Moscou and Peter Van Esse
